"nest","sampleid","latitude","longitude","nw","nq","efq","nm","efm","mpc","rqq","rqm","nf","nfp","CruF4","CruF4.1","CruE6","CruE6.1","CruB3","CruB3.1","CggF9","CggF9.1","CggA4_A5_B3","CggA4_A5_B3.1","CggC3_E6","CggC3_E6.1","CruE8","CruE8.1","CruG1","CruG1.1","CruC2t7","CruC2t7.1","CruG4","CruG4.1","CggD11","CggD11.1","CruB8","CruB8.1","CggD10","CggD10.1","CruH4","CruH4.1","CggC11","CggC11.1","CggG9","CggG9.1","CruF11","CruF11.1","PHt","Hs_obs","Hs_exp","IR","HL","agr","cer","cers","cult","wtr","urb","road","cert"
"G01","G0101",7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,9,0.45,157,157,219,227,168,170,222,222,189,197,260,260,228,228,188,188,266,274,220,222,150,150,246,246,208,208,233,237,228,242,244,244,236,236,0.411764705882353,0.767123287671233,0.669876491521876,0.316239316239316,0.589820269744909,0,0,0,0,0,1,0,0
"G01","G0102",7534945,277856,20,5,3.24,4,4.36633663366337,1.67326732673267,-0.01,0.17,7,0.35,155,159,227,233,168,170,222,228,189,195,260,260,204,204,190,190,276,278,218,222,150,150,242,246,204,204,233,233,228,242,258,264,236,254,0.647058823529412,1.20547945205479,1.0526630581058,-0.0179294389820708,0.284547982894225,0,0,0,0,0,1,0,0
"G01","G0103",7534945,277856,20,5,3.24,2,1,1.67326732673267,-0.01,0.17,2,0.1,149,153,227,227,168,170,222,232,189,195,260,260,214,244,188,188,276,286,206,226,150,150,242,248,204,208,233,233,228,228,246,248,236,250,0.647058823529412,1.20547945205479,1.0526630581058,-0.0718635809987821,0.239331319716499,0,0,0,0,0,1,0,0
"G01","G0104",7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,1,0.05,153,153,227,227,170,170,222,224,187,189,260,260,204,204,188,188,286,286,220,222,150,152,248,258,206,208,233,233,228,228,230,252,234,254,0.470588235294118,0.876712328767123,0.765573133167858,0.229379891631547,0.503842818266097,0,0,0,0,0,1,0,0
"G01","G0105",7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,1,0.05,153,153,219,219,168,170,222,222,173,191,260,260,204,204,188,190,274,278,220,224,132,150,228,236,204,208,239,239,228,228,230,266,226,230,0.588235294117647,1.0958904109589,0.956966416459822,0.122325836533187,0.394060827177846,0,0,0,0,0,1,0,0
"G02","G0201",7537347,276805,20,2,1.91,2,1.17906976744186,1.27645077157139,0.7,0.27,13,0.65,149,159,227,227,169,170,222,232,189,189,256,262,204,228,188,196,266,278,220,222,150,150,248,266,204,208,235,237,228,228,250,258,230,258,0.764705882352941,1.42465753424658,1.24405634139777,-0.14726971869829,0.162145997188911,0,1,0,0,0,0,0,1
"G02","G0202",7537347,276805,20,2,1.91,2,1.37383177570093,1.27645077157139,0.7,0.27,7,0.35,149,159,227,227,168,168,222,232,189,189,256,260,204,228,188,188,266,266,220,222,150,150,248,248,204,208,235,237,228,228,250,258,230,258,0.529411764705882,0.986301369863014,0.86126977481384,0.141323792486583,0.394748646789677,0,1,0,0,0,0,0,1
"G06","G0601",7537565,274567,20,6,3.54,1,1,1,0.08,0.37,10,0.5,151,157,219,227,168,170,222,228,189,189,260,260,204,214,188,188,278,286,218,224,150,150,238,246,204,208,235,237,228,228,248,264,248,258,0.705882352941177,1.31506849315069,1.14835969975179,-0.201501877346684,0.167469122880469,0,1,0,0,0,0,0,1
"G06","G0602",7537565,274567,20,6,3.54,1,1,1,0.08,0.37,4,0.2,153,159,219,227,168,168,222,228,189,191,260,260,204,204,188,188,274,278,206,220,150,150,246,254,208,208,233,235,226,226,238,254,226,262,0.588235294117647,1.0958904109589,0.956966416459822,0.0637799882972497,0.303806932025479,0,1,0,0,0,0,0,1
"G06","G0603",7537565,274567,20,6,3.54,1,1,1,0.08,0.37,2,0.1,153,153,227,227,168,170,224,228,187,189,260,260,204,218,188,188,274,276,218,218,150,150,246,246,208,208,233,233,228,228,246,246,230,230,0.294117647058824,0.547945205479452,0.478483208229911,0.450926561427591,0.673734262388229,0,1,0,0,0,0,0,1
"G06","G0604",7537565,274567,20,6,3.54,1,1,1,0.08,0.37,1,0.05,149,159,219,219,170,172,224,224,189,189,260,260,220,220,188,188,296,296,220,220,150,150,246,246,206,208,233,233,238,238,246,246,248,252,0.235294117647059,0.438356164383562,0.382786566583929,0.631972397929845,0.72561978528066,0,1,0,0,0,0,0,1
"G06","G0605",7537565,274567,20,6,3.54,1,1,1,0.08,0.37,1,0.05,149,153,227,233,168,168,222,224,191,197,260,260,210,214,188,188,278,278,218,218,150,150,246,246,204,204,233,235,228,228,240,262,252,262,0.470588235294118,0.876712328767123,0.765573133167858,0.225181598062954,0.435449624689734,0,1,0,0,0,0,0,1
"G06","G0606",7537565,274567,20,6,3.54,2,1,1,0.08,0.37,2,0.1,163,171,227,227,170,170,222,222,189,189,260,260,204,210,188,188,276,276,220,220,150,150,246,256,204,208,235,235,228,238,246,246,236,236,0.294117647058824,0.547945205479452,0.478483208229911,0.485530546623794,0.70002093364036,0,1,0,0,0,0,0,1
"G09","G0901",7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,5,0.25,133,149,219,233,170,170,222,222,189,195,260,260,204,210,188,188,274,278,220,224,150,152,246,246,204,208,233,247,228,234,240,242,234,246,0.705882352941177,1.31506849315069,1.14835969975179,-0.103448275862069,0.237596818086665,0,0,0,0.9,0,0,0.1,0
