"nest","sampleid","latitude","longitude","nw","nq","efq","nm","efm","mpc","rqq","rqm","nf","nfp","CruD1","CruD1.1","CruB5","CruB5.1","CggF4","CggF4.1","CruF8","CruF8.1","CruG11","CruG11.1","CruG4","CruG4.1","CggF9","CggF9.1","CggD5_A","CggD5_A.1","CruE6","CruE6.1","CggC3_E6","CggC3_E6.1","CruB8","CruB8.1","CruF11","CruF11.1","CruH4","CruH4.1","CggA4_A5_B3","CggA4_A5_B3.1","CruB2","CruB2.1","CruC2t7","CruC2t7.1","CruE8","CruE8.1","PHt","Hs_obs","Hs_exp","IR","HL","agr","cer","cers","cult","wtr","urb","road","cert"
"F01","F0101",7544575,278391,20,2,2.08,5,4.30298719772404,4.45754342092608,0.73,0.08,11,0.55,176,177,220,220,262,272,199,201,255,257,214,214,204,220,280,286,217,223,228,234,238,238,240,256,233,241,193,199,256,256,252,286,236,246,0.764705882352941,1.2739420935412,1.00920263849069,0.087719298245614,0.220301942779237,0,1,0,0,0,0,0,1
"F01","F0102",7544575,278391,20,2,2.08,5,4.61209964412812,4.45754342092608,0.73,0.08,9,0.45,176,176,218,220,262,272,199,199,255,255,214,214,204,220,280,286,215,217,228,234,238,244,240,256,233,241,193,199,256,256,252,254,240,242,0.705882352941177,1.17594654788419,0.931571666299096,0.157894736842105,0.278404875994948,0,1,0,0,0,0,0,1
"F02","F0201",7541845,278692,20,5,5.03,1,1,2.60708128078818,0.15,0.12,4,0.2,174,174,218,218,276,276,217,219,257,257,212,212,220,220,280,286,217,219,240,242,242,242,226,242,229,241,193,209,242,280,240,240,224,268,0.529411764705882,0.88195991091314,0.698678749724322,0.23367198838897,0.425687190488602,0,0,0,1,0,0,0,0
"F02","F0202",7541845,278692,20,5,5.03,2,1.71428571428571,2.60708128078818,0.15,0.12,4,0.2,174,174,220,220,274,276,199,199,253,257,212,212,206,210,280,280,217,217,242,242,242,248,226,226,229,229,191,199,276,290,240,240,224,244,0.411764705882353,0.685968819599109,0.543416805341139,0.4130538351596,0.568338111754917,0,0,0,1,0,0,0,0
"F02","F0203",7541845,278692,20,5,5.03,2,1.5625,2.60708128078818,0.15,0.12,5,0.25,174,176,218,218,274,276,199,201,255,257,212,212,206,210,280,294,217,223,242,242,242,242,226,250,229,233,209,219,256,288,250,276,258,260,0.764705882352941,1.2739420935412,1.00920263849069,-0.0414201183431952,0.217936122862241,0,0,0,1,0,0,0,0
"F02","F0204",7541845,278692,20,5,5.03,5,7.75862068965517,2.60708128078818,0.15,0.12,6,0.3,174,174,218,218,276,276,199,217,255,257,210,212,210,210,280,296,217,219,242,252,244,244,226,234,229,231,191,209,252,288,240,276,256,258,0.705882352941177,1.17594654788419,0.931571666299096,0.0153846153846155,0.259257774124346,0,0,0,1,0,0,0,0
"F02","F0205",7541845,278692,20,5,5.03,1,1,2.60708128078818,0.15,0.12,1,0.05,184,184,218,220,260,262,195,195,255,255,208,212,206,206,280,288,217,219,240,240,244,244,240,246,231,237,191,197,276,288,240,276,254,254,0.588235294117647,0.979955456570156,0.776309721915913,0.277207392197125,0.408705415321691,0,0,0,1,0,0,0,0
"F03","F0301",7541788,277408,20,2,1.11,1,1,1,0.05,0.38,19,0.95,174,174,216,220,262,274,195,195,257,257,212,212,210,220,284,294,219,219,240,242,238,242,240,248,229,241,191,235,282,282,246,248,236,244,0.647058823529412,1.07795100222717,0.853940694107505,0.143741707209199,0.333821200152375,0,0,0,1,0,0,0,0
"F03","F0302",7541788,277408,20,2,1.11,1,1,1,0.05,0.38,1,0.05,174,180,218,218,260,260,201,201,253,257,212,212,210,210,272,294,217,223,240,240,242,244,240,242,237,241,193,209,242,242,248,276,234,236,0.588235294117647,0.979955456570156,0.776309721915913,0.203259393390675,0.408565070072378,0,0,0,1,0,0,0,0
"F04","F0401",7537046,278237,20,2,1.11,2,1.11687865245789,1.05843932622895,0.28,0.42,19,0.95,174,174,218,220,274,276,195,205,253,257,208,212,210,218,288,292,219,221,240,240,242,248,242,252,229,229,209,209,242,242,240,240,256,256,0.588235294117647,0.979955456570156,0.776309721915913,0.205058717253839,0.433586623092808,0,0,0,1,0,0,0,0
