nest,sampleid,latitude,longitude,nw,nq,efq,nm,efm,mpc,rqq,rqm,nf,nfp,CruF4,CruF4,CruE6,CruE6,CruB3,CruB3,CggF9,CggF9,CggA4_A5_B3,CggA4_A5_B3,CggC3_E6,CggC3_E6,CruE8,CruE8,CruG1,CruG1,CruC2t7,CruC2t7,CruG4,CruG4,CggD11,CggD11,CruB8,CruB8,CggD10,CggD10,CruH4,CruH4,CggC11,CggC11,CggG9,CggG9,CruF11,CruF11
G01,G0104,7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,1,0.05,153,153,227,227,170,170,222,224,187,189,260,260,204,204,188,188,286,286,220,222,150,152,248,258,206,208,233,233,228,228,230,252,234,254
G01,G0102,7534945,277856,20,5,3.24,4,4.36633663366337,1.67326732673267,-0.01,0.17,7,0.35,155,159,227,233,168,170,222,228,189,195,260,260,204,204,190,190,276,278,218,222,150,150,242,246,204,204,233,233,228,242,258,264,236,254
G01,G0101,7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,9,0.45,157,157,219,227,168,170,222,222,189,197,260,260,228,228,188,188,266,274,220,222,150,150,246,246,208,208,233,237,228,242,244,244,236,236
G01,G0103,7534945,277856,20,5,3.24,2,1,1.67326732673267,-0.01,0.17,2,0.1,149,153,227,227,168,170,222,232,189,195,260,260,214,244,188,188,276,286,206,226,150,150,242,248,204,208,233,233,228,228,246,248,236,250
G01,G0105,7534945,277856,20,5,3.24,1,1,1.67326732673267,-0.01,0.17,1,0.05,153,153,219,219,168,170,222,222,173,191,260,260,204,204,188,190,274,278,220,224,132,150,228,236,204,208,239,239,228,228,230,266,226,230
G02,G0202,7537347,276805,20,2,1.91,2,1.37383177570093,1.27645077157139,0.7,0.27,7,0.35,149,159,227,227,168,168,222,232,189,189,256,260,204,228,188,188,266,266,220,222,150,150,248,248,204,208,235,237,228,228,250,258,230,258
G02,G0201,7537347,276805,20,2,1.91,2,1.17906976744186,1.27645077157139,0.7,0.27,13,0.65,149,159,227,227,169,170,222,232,189,189,256,262,204,228,188,196,266,278,220,222,150,150,248,266,204,208,235,237,228,228,250,258,230,258
G06,G0602,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,4,0.2,153,159,219,227,168,168,222,228,189,191,260,260,204,204,188,188,274,278,206,220,150,150,246,254,208,208,233,235,226,226,238,254,226,262
G06,G0605,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,1,0.05,149,153,227,233,168,168,222,224,191,197,260,260,210,214,188,188,278,278,218,218,150,150,246,246,204,204,233,235,228,228,240,262,252,262
G06,G0601,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,10,0.5,151,157,219,227,168,170,222,228,189,189,260,260,204,214,188,188,278,286,218,224,150,150,238,246,204,208,235,237,228,228,248,264,248,258
G06,G0604,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,1,0.05,149,159,219,219,170,172,224,224,189,189,260,260,220,220,188,188,296,296,220,220,150,150,246,246,206,208,233,233,238,238,246,246,248,252
G06,G0606,7537565,274567,20,6,3.54,2,1,1,0.08,0.37,2,0.1,163,171,227,227,170,170,222,222,189,189,260,260,204,210,188,188,276,276,220,220,150,150,246,256,204,208,235,235,228,238,246,246,236,236
G06,G0603,7537565,274567,20,6,3.54,1,1,1,0.08,0.37,2,0.1,153,153,227,227,168,170,224,228,187,189,260,260,204,218,188,188,274,276,218,218,150,150,246,246,208,208,233,233,228,228,246,246,230,230
G09,G0902,7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,8,0.4,149,153,229,233,168,172,228,228,189,189,260,260,204,224,188,190,278,278,220,224,150,152,246,246,208,208,235,237,228,228,242,252,230,234
G09,G0903,7535395,277949,20,5,4.34,1,1,1.16,0.08,0.04,2,0.1,153,153,227,227,168,170,224,232,189,189,260,260,204,204,190,190,270,270,222,222,150,150,246,246,208,208,235,235,228,228,240,240,244,250
